2026-02-03T09:08:05.673Z | GET | /
2026-02-03T09:08:06.428Z | GET | /favicon.ico
2026-02-03T09:08:09.900Z | GET | /health
2026-02-03T09:08:13.071Z | POST | /login
2026-02-03T09:08:18.023Z | GET | /users
2026-02-03T09:09:44.434Z | POST | /login
2026-02-03T09:10:47.640Z | GET | /
2026-02-03T09:14:42.539Z | GET | /
2026-02-03T09:14:43.505Z | GET | /
2026-02-03T09:14:44.690Z | GET | /health
2026-02-03T09:14:46.051Z | POST | /login
2026-02-03T09:14:50.684Z | GET | /users
2026-02-03T09:14:51.940Z | GET | /users
2026-02-03T09:14:53.902Z | GET | /
2026-02-03T09:17:21.040Z | GET | /
2026-02-03T09:17:22.404Z | GET | /health
2026-02-03T09:17:23.726Z | GET | /health
2026-02-03T09:17:25.026Z | GET | /
2026-02-03T09:17:26.685Z | GET | /health
2026-02-03T09:17:28.192Z | POST | /login
2026-02-03T09:17:29.328Z | GET | /health
2026-02-03T09:17:30.151Z | POST | /login
2026-02-03T09:17:31.129Z | GET | /users
2026-02-03T09:17:48.728Z | GET | /
2026-02-03T09:17:50.959Z | GET | /health
2026-02-03T09:17:52.844Z | POST | /login
2026-02-03T09:17:55.886Z | GET | /users
2026-02-03T09:20:50.206Z | GET | /
2026-02-03T09:20:53.109Z | GET | /health
2026-02-03T09:20:54.151Z | GET | /health
2026-02-03T09:20:55.196Z | POST | /login
2026-02-03T09:20:56.158Z | GET | /users
2026-02-03T09:21:35.296Z | GET | /
2026-02-03T09:21:36.946Z | GET | /health
2026-02-03T09:21:38.516Z | POST | /login
